,Time,Replicate,Fasting,Adlib
CT8CTLF1,8,1,0,1
CT8CTLF2,8,1,0,1
CT12CTLF1,12,2,0,1
CT12CTLF2,12,2,0,1
CT16CTLF1,16,3,0,1
CT16CTLF2,16,3,0,1
CT20CTLF1,20,4,0,1
CT20CTLF2,20,4,0,1
CT24CTLF1,24,5,0,1
CT24CTLF2,24,5,0,1
CT28CTLF1,28,6,0,1
CT28CTLF2,28,6,0,1
CT32CTLF1,32,7,0,1
CT32CTLF2,32,7,0,1
CT36CTLF1,36,8,0,1
CT36CTLF2,36,8,0,1
CT40CTLF1,40,9,0,1
CT40CTLF2,40,9,0,1
CT44CTLF1,44,10,0,1
CT44CTLF2,44,10,0,1
CT8fastingF1,8,11,1,0
CT8fastingF2,8,11,1,0
CT12fastingF1,12,12,1,0
CT12fastingF2,12,12,1,0
CT16fastingF1,16,13,1,0
CT16fastingF2,16,13,1,0
CT20fastingF1,20,14,1,0
CT20fastingF2,20,14,1,0
CT24fastingF1,24,15,1,0
CT24fastingF2,24,15,1,0
CT28fastingF1,28,16,1,0
CT28fastingF2,28,16,1,0
CT32fastingF1,32,17,1,0
CT32fastingF2,32,17,1,0
CT36fastingF1,36,18,1,0
CT36fastingF2,36,18,1,0
CT40fastingF1,40,19,1,0
CT40fastingF2,40,19,1,0
CT44fastingF1,44,20,1,0
CT44fastingF2,44,20,1,0
